"state","dem","rep","other","ev"
"Alabama",0.343579457579736,0.620830923644091,0.0355896187761729,9
"Alaska",0.36550871290112,0.512815120775373,0.121676166323507,3
"Arizona",0.454603717739915,0.490322365948384,0.0550739163117013,11
"Arkansas",0.336531241293609,0.60566142035228,0.0578073383541108,6
"California",0.622752563963841,0.318817124643907,0.0584303113922512,55
"Colorado",0.481569803828474,0.43251397371431,0.0859162224572156,9
"Connecticut",0.545663010967099,0.409269143788148,0.0450678452447535,7
"Delaware",0.533533368056342,0.419228243393193,0.0472383885504654,3
"District of Columbia",0.904838838678717,0.0407038310805407,0.0544573302407423,3
"Florida",0.478233158058051,0.490219414165907,0.0315474277760421,29
"Georgia",0.458893409764946,0.510487191661171,0.0306193985738836,16
"Hawaii",0.60980798055129,0.294397071726256,0.0957949477224538,4
"Idaho",0.274920138209792,0.592614323691969,0.132465538098239,4
"Illinois",0.558253666987933,0.387617530738253,0.0541288022738143,20
"Indiana",0.379110515374552,0.568153908232085,0.0527355763933632,11
"Iowa",0.417404891729474,0.51147327224046,0.0711218360300657,6
"Kansas",0.360523707322345,0.566545818058396,0.0729304746192593,6
"Kentucky",0.326821883336478,0.625196385519001,0.0479817311445215,8
"Louisiana",0.38449566098514,0.580886846535688,0.0346174924791722,8
"Maine",0.478377280624658,0.451564701071933,0.0700580183034096,4
"Maryland",0.60324826486571,0.339088292764477,0.0576634423698132,10
"Massachusetts",0.609315596611011,0.33314928414741,0.0575351192415789,11
"Michigan",0.472745309508668,0.474975642199961,0.0522790482913701,16
"Minnesota",0.46444918573777,0.449247880935054,0.0863029333271755,10
"Mississippi",0.398929746369399,0.585526628148586,0.0155436254820155,6
"Missouri",0.381721539031606,0.573819686890267,0.0444587740781269,10
"Montana",0.359352187751503,0.564661918685772,0.0759858935627247,3
"Nebraska",0.34315232333509,0.599387145807217,0.0574605308576931,5
"Nevada",0.47917823678119,0.455006953176024,0.0658148100427854,6
"New Hampshire",0.469784400547255,0.466096497435586,0.0641191020171589,4
"New Jersey",0.548583735360693,0.420947321636201,0.0304689430031067,14
"New Mexico",0.482557076252822,0.400424392284779,0.1170185314624,5
"New York",0.58833925120077,0.374421613495747,0.0372391353034832,29
"North Carolina",0.461725997091739,0.498284252472496,0.0399897504357646,15
"North Dakota",0.27226739458706,0.629556278313393,0.0981763270995469,3
"Ohio",0.437809042020937,0.519520666682271,0.0426702912967916,18
"Oklahoma",0.289316802845439,0.653228648196274,0.0574545489582875,7
"Oregon",0.519483104932884,0.405536095793024,0.0749807992740921,7
"Pennsylvania",0.480244729047287,0.487486252168346,0.0322690187843676,20
"Rhode Island",0.547946726127991,0.401687311619332,0.0503659622526769,4
"South Carolina",0.406734197896651,0.549393326856954,0.0438724752463948,9
"South Dakota",0.320890302414287,0.622154278282348,0.0569554193033651,3
"Tennessee",0.351049305923959,0.614107297040788,0.0348433970352526,11
"Texas",0.43235257981012,0.522346855793354,0.0453005643965266,38
"Utah",0.277730695788367,0.46057896543586,0.261690338775773,6
"Vermont",0.557227421232139,0.297593824013081,0.14517875475478,3
"Virginia",0.497513528334177,0.44427647013924,0.0582100015265826,13
"Washington",0.547377142945089,0.383743314903349,0.0688795421515622,12
"West Virginia",0.264769280177715,0.686305748116194,0.0489249717060912,5
"Wisconsin",0.464429456665568,0.471883126245877,0.0636874170885551,10
"Wyoming",0.21628900876393,0.673984110546084,0.109726880689986,3
