date,state,lower_trump,mean_trump,upper_trump,lower_biden,mean_biden,upper_biden
2020-03-28,Alabama,0.37841640230715134,0.5611868652835741,0.7337613297143979,0.19556770863297146,0.3652285857031954,0.5458730221790075
2020-03-28,Arizona,0.34097694558309644,0.4412077341168954,0.5428545661595059,0.36981612543488274,0.4704156839224667,0.5727960689234117
2020-03-28,Colorado,0.14140317309275735,0.39267614134892603,0.6528560026647232,0.1764273758886041,0.43914427523670974,0.6958623926148463
2020-03-28,Connecticut,0.16922882608786777,0.3479572581793993,0.5444166050504069,0.30000217052140377,0.4948609125881183,0.6834090607359299
2020-03-28,District of Columbia,0.0053982161384412645,0.09665207976977327,0.30607583073271183,0.5347129271991463,0.7754526834162474,0.9407404986171335
2020-03-28,Georgia,0.3692713734213306,0.504556460622576,0.6382070740705509,0.30391769043403166,0.4345722593209382,0.5692041818915567
2020-03-28,Idaho,0.28715320453823145,0.5555511190937676,0.7996515281078552,0.04187614099945618,0.25541557775168366,0.516851165288881
2020-03-28,Iowa,0.37733487731363263,0.49005253576882424,0.6016311222166764,0.3557059922907279,0.4665996435287233,0.5794152030271982
2020-03-28,Kentucky,0.3010355267250573,0.5684577043469266,0.8112934116434826,0.061052461585845236,0.28274667581101115,0.5443862896347302
2020-03-28,Maine,0.2652221142520897,0.4099450289570994,0.5613968846169468,0.3483594083911975,0.5005888809649761,0.6496210015067057
2020-03-28,Maryland,0.0657952694667762,0.2949630316377012,0.5558459348496069,0.28506063139695104,0.5506987730224053,0.7978924070305462
2020-03-28,Michigan,0.3184540905164123,0.42771300480057933,0.5411935443038792,0.3550392224937351,0.46568614595466384,0.5792259297808128
2020-03-28,Minnesota,0.20799985896842973,0.4294733808230078,0.6548806451398173,0.2193966385356387,0.4405577091405706,0.6656922828963067
2020-03-28,Mississippi,0.39354960419035595,0.5646960695535266,0.7276095140452987,0.21621593469723124,0.3754325024564306,0.5444921641858352
2020-03-28,Montana,0.2536247201796358,0.519250749156456,0.7690499694193667,0.08185502146619865,0.3213569284064513,0.5799301486667358
2020-03-28,Nebraska,0.27598495425535324,0.547319745898166,0.7955993569845398,0.06786912208363594,0.30064993778970284,0.5658426201163964
2020-03-28,New Hampshire,0.3149379087450494,0.43166498217619287,0.553975871944911,0.3884094660558544,0.5081479873972036,0.6269183314329011
2020-03-28,New Mexico,0.24590668083288036,0.43171905482294914,0.6231942964460401,0.2813554689999616,0.47286946744677893,0.6599706481772468
2020-03-28,North Carolina,0.3435751073640149,0.44857742580373533,0.5551177008569038,0.3827117567695117,0.487651781501487,0.5937929697749009
2020-03-28,North Dakota,0.31091551571550796,0.584201996296546,0.825559369514455,0.03965845411523287,0.2463028058842508,0.5097698137499123
2020-03-28,Oregon,0.11091090748783965,0.36198985996722144,0.6252873196179831,0.21004421381528196,0.478174785826418,0.7310355512135263
2020-03-28,Pennsylvania,0.3142466271441964,0.4349472244792798,0.5590902920570188,0.35491182473728894,0.47540403509332324,0.5999867564820396
2020-03-28,Rhode Island,0.1046693321009434,0.35366875380658747,0.620172528004903,0.23038674646952997,0.4951697764862624,0.7535661423722764
2020-03-28,South Dakota,0.29507315060213646,0.5687027205135371,0.8143901667092882,0.05757916460964379,0.2810497912594794,0.5423888366754955
2020-03-28,Utah,0.1740061112929685,0.4416098642035921,0.7038664565491797,0.05200318441970309,0.2758879215121173,0.5474527550567696
2020-03-28,Vermont,0.05294528385560796,0.27611236727418687,0.5444710729636744,0.25395937596477886,0.5263300652115941,0.775618235884344
2020-03-28,Washington,0.19725794333136087,0.33694062283058945,0.4880465087327974,0.3839485013265528,0.5363459032232731,0.6840331538798011
2020-03-28,West Virginia,0.36058618944597676,0.6253293520440265,0.8497150662132871,0.03690520861310215,0.22884410994559196,0.48146857953361116
2020-03-28,Wisconsin,0.34374611315439196,0.4461029287471736,0.5516630536986967,0.37216907333109484,0.4749849122113425,0.581288122528203
2020-03-28,Wyoming,0.3535196815994982,0.6225976399961484,0.8494242424942181,0.0269154473469562,0.2034388093369599,0.455510100136488
2020-03-27,Alabama,0.3795709171222869,0.5636548174330525,0.7346468582333335,0.19694912747885776,0.37385445594230515,0.5478357660690965
2020-03-27,Alaska,0.21914788270973445,0.48422072663910054,0.7358543083079315,0.090732860551761,0.34807932672870723,0.6049452377214749
2020-03-27,Arizona,0.34153255369596563,0.4427487609441335,0.5436581704353283,0.3708386536910811,0.4752670576633092,0.5738078016866496
2020-03-27,Arkansas,0.28695122541078033,0.5578446928136742,0.7962298506417804,0.06601953416953918,0.30639188529661926,0.5579894136848781
2020-03-27,California,0.21778945398730068,0.32377907200524353,0.4378866977808133,0.4736816246784822,0.5965681783552248,0.7042899637200756
2020-03-27,Colorado,0.1425704529121123,0.397163166073739,0.6544977630961085,0.17927913054546518,0.45120752437218026,0.6988754494585224
2020-03-27,Connecticut,0.17002282573959324,0.35062985340488495,0.5454804303233447,0.3028226687621054,0.504438018847015,0.6855508285851033
2020-03-27,Delaware,0.15379365389382382,0.3593574597438038,0.5736930604406686,0.3255221741652815,0.5487216623535303,0.7487287634591573
2020-03-27,District of Columbia,0.00557272628047594,0.09898460387154988,0.3076318986391691,0.5377091050922149,0.7849016601250097,0.9420881477743052
2020-03-27,Florida,0.3777932353019948,0.4888842037482287,0.5986564463786755,0.37583441564334497,0.4905175513239996,0.5960645203743014
2020-03-27,Georgia,0.37006376627410703,0.5068325061071715,0.6387264247974495,0.3051667624725619,0.44056729414402895,0.5712873477395747
